loan_id,facility_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,1
35,1
36,1
37,2
38,3
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,1
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,2
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,4
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,4
102,3
103,3
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,5
149,6
150,6
151,5
152,6
153,6
154,6
155,6
156,6
157,6
158,6
159,5
160,6
161,6
162,5
163,5
164,6
165,6
166,5
167,6
168,6
169,6
170,6
171,5
172,6
173,6
174,6
175,6
176,6
177,5
178,6
179,5
180,6
181,6
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,5
190,5
191,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,8
201,5
202,8
203,8
204,8
205,8
206,8
207,8
208,7
209,8
210,8
211,8
212,8
213,8
214,8
215,8
216,8
217,8
218,8
219,8
220,8
221,8
222,7
223,8
224,8
225,8
226,8
227,8
228,8
229,8
230,8
231,8
232,8
233,8
234,8
235,8
236,8
237,8
238,8
239,8
240,8
241,7
242,8
243,8
244,8
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,9
274,9
275,9
276,9
277,9
278,9
279,9
280,9
281,9
282,9
283,9
284,9
285,9
286,8
287,9
288,9
289,9
290,9
291,9
292,9
293,9
294,9
295,9
296,9
297,10
298,9
299,9
300,10
301,9
302,9
303,9
304,9
305,9
306,9
307,9
308,9
309,9
310,9
311,9
312,9
313,10
314,9
315,10
316,10
317,10
318,10
319,10
320,10
321,9
322,10
323,10
324,10
325,10
326,12
327,10
328,10
329,10
330,10
331,10
332,10
333,12
334,10
335,10
336,10
337,10
338,10
339,10
340,10
341,10
342,10
343,10
344,10
345,10
346,10
347,10
348,10
349,10
350,10
351,12
352,12
353,10
354,12
355,12
356,12
357,12
358,12
359,12
360,12
361,12
362,12
363,12
364,12
365,12
366,12
367,12
368,12
369,12
370,12
371,12
372,12
373,12
374,12
375,12
376,12
377,12
378,12
379,12
380,12
381,12
382,12
383,12
384,12
385,11
386,11
387,11
388,11
389,11
390,11
391,11
392,11
393,11
394,12
395,13
396,11
397,11
398,11
399,11
400,11
401,11
402,11
403,11
404,11
405,11
406,11
407,11
408,11
409,11
410,11
411,12
412,11
413,11
414,11
415,11
416,11
417,11
418,11
419,13
420,13
421,13
422,13
423,13
424,13
